key;en;de
settings.currency_body;Will automatically convert prices in your records to that currency for comparisons.;Wird die Preise in Ihren Einträgen automatisch in diese Währung umrechnen.
settings.currency_refresh_button;Refresh Rates;Wechselkurse\naktualisieren
settings.weightunit_title;Preferred Weight Unit;Bevorzugte Gewichtseinheit
settings.weightunit_body;Will automatically convert weights in your records to that unit for comparisons.;Wird die Gewichte in Ihren Einträgen automatisch in diese Einheit umrechnen.
settings.weightunit_grams;Grams (g);Gramm (g)
settings.weightunit_ounces;Ounces (oz);Unzen (oz)
settings.database_title;Database Settings;Datenbank-Einstellungen
settings.database_import;Import from external file;Aus externer Datei importieren
settings.database_export;Export database;Datenbank exportieren
settings.database_import_btn;Import;Importieren
settings.database_export_btn;Export;Exportieren
settings.database_import_popup_title;Import Database;Datenbank importieren
settings.database_import_popup_body;Would you like to append the records to your existing database, or overwrite it completely?;Möchten Sie die Einträge zu Ihrer bestehenden Datenbank hinzufügen oder sie vollständig überschreiben?
settings.database_import_popup_append;Append;Hinzufügen
settings.database_import_popup_overwrite;Overwrite;Überschreiben
settings.database_import_overwrite_confirm_title;Overwrite Database;Datenbank überschreiben
settings.database_import_overwrite_confirm_body;Are you sure you want to overwrite your existing database? All records and Settings will be lost!;Sind Sie sicher, dass Sie Ihre bestehende Datenbank überschreiben möchten? Ihre alten Einträge und Einstellungen werden dadurch gelöscht!
settings.database_import_overwrite_confirm_yes;Yes, overwrite;Ja, überschreiben
settings.database_import_overwrite_confirm_no;No, go back;Nein, zurück
quit.app_popup_title;Quit App;App beenden
quit.app_popup_message;Are you sure you want to quit?;Sind Sie sicher, dass Sie die App beenden möchten?
quit.app_popup_cancel;Cancel;Abbrechen
quit.app_popup_confirm;Quit;Beenden
