key;en;de;fr;es
settings.database_export_progress_database;Choose where to save the database file.;Wählen Sie einen Speicherort für die Datenbankdatei.;Choisissez où enregistrer le fichier de base de données.;Elige dónde guardar el archivo de base de datos.
settings.database_export_progress_photos;Choose the same location for the photo archive.;Wählen Sie denselben Speicherort für das Fotoarchiv.;Choisissez le même emplacement pour l’archive photo.;Elige la misma ubicación para el archivo de fotos.
settings.database_export_share_database;Save Journalitea database;Journalitea-Datenbank speichern;Enregistrer la base Journalitea;Guardar base de datos de Journalitea
settings.database_export_share_photos;Save Journalitea photo archive;Journalitea-Fotoarchiv speichern;Enregistrer l’archive photo Journalitea;Guardar archivo de fotos de Journalitea
settings.database_export_share_ready;Share exports;Exporte teilen;Partager les exportations;Compartir exportaciones
settings.dialog_ok;OK;OK;OK;Aceptar
settings.dialog_close;Close;Schließen;Fermer;Cerrar
settings.database_import_prompt_title;Import database;Datenbank importieren;Importer une base de données;Importar base de datos
settings.database_import_prompt_message;Append the records from the selected database to your current data, or replace your database entirely?;Möchten Sie die Einträge aus der ausgewählten Datenbank anfügen oder die Datenbank vollständig ersetzen?;Ajouter les fiches de la base sélectionnée à vos données actuelles ou remplacer entièrement votre base de données ?;¿Añadir los registros de la base de datos seleccionada a tus datos actuales o sustituir toda la base de datos?
settings.database_import_append;Append records;Einträge anfügen;Ajouter les fiches;Añadir registros
settings.database_import_replace;Replace database;Datenbank ersetzen;Remplacer la base de données;Sustituir base de datos
settings.database_import_cancel;Cancel;Abbrechen;Annuler;Cancelar
settings.database_import_success_append;Database import completed (records appended).;Datenbankimport abgeschlossen (Einträge angefügt).;Importation terminée (fiches ajoutées).;Importación terminada (registros añadidos).
settings.database_import_success_replace;Database import completed (database replaced).;Datenbankimport abgeschlossen (Datenbank ersetzt).;Importation terminée (base de données remplacée).;Importación terminada (base de datos sustituida).
settings.database_import_photos_restored;Sibling photo archive imported from: {path};Zugehöriges Fotoarchiv importiert von: {path};Archive photo associée importée depuis : {path};Archivo de fotos asociado importado desde: {path}
settings.database_import_photos_missing;No sibling photo archive was found.;Kein zugehöriges Fotoarchiv gefunden.;Aucune archive photo associée n’a été trouvée.;No se ha encontrado ningún archivo de fotos asociado.
sync.section_title;Nextcloud Sync;Nextcloud-Synchronisierung;Synchronisation Nextcloud;Sincronización de Nextcloud
sync.enable_label;Enable Nextcloud sync;Nextcloud-Sync aktivieren;Activer la synchronisation Nextcloud;Activar sincronización de Nextcloud
sync.disable_hint;The app only checks and uploads when sync is enabled.;Die App prüft und lädt nur hoch, wenn die Synchronisierung aktiviert ist.;L’appli vérifie et envoie des données uniquement lorsque la synchronisation est activée.;La aplicación solo comprueba y sube datos cuando la sincronización está activada.
sync.pictures_label;Sync pictures;Bilder synchronisieren;Synchroniser les photos;Sincronizar fotos
sync.pictures_hint;Upload and download record photos together with the database. Already uploaded remote pictures stay untouched when disabled.;Fotos zusammen mit der Datenbank hoch- und herunterladen. Bereits hochgeladene Remote-Bilder bleiben beim Deaktivieren unverändert.;Envoyez et téléchargez les photos des fiches avec la base de données. Les photos distantes déjà envoyées restent intactes lorsque cette option est désactivée.;Sube y descarga las fotos de los registros junto con la base de datos. Las fotos remotas ya subidas no se modifican al desactivar esta opción.
sync.server_url;Server URL;Server-URL;URL du serveur;URL del servidor
sync.folder_path;Remote folder;Remote-Ordner;Dossier distant;Carpeta remota
sync.backup_retention;Rolling backups;Rotierende Backups;Sauvegardes tournantes;Copias de seguridad rotativas
sync.connection_title;Connection;Verbindung;Connexion;Conexión
sync.connect;Connect account;Konto verbinden;Connecter un compte;Conectar cuenta
sync.disconnect;Disconnect account;Konto trennen;Déconnecter le compte;Desconectar cuenta
sync.disconnect_title;Disconnect Nextcloud;Nextcloud trennen;Déconnecter Nextcloud;Desconectar Nextcloud
sync.disconnect_message;Disconnect this Nextcloud account from Journalitea? The remote files will stay on the server.;Dieses Nextcloud-Konto von Journalitea trennen? Die Dateien auf dem Server bleiben erhalten.;Déconnecter ce compte Nextcloud de Journalitea ? Les fichiers distants resteront sur le serveur.;¿Desconectar esta cuenta de Nextcloud de Journalitea? Los archivos remotos permanecerán en el servidor.
sync.disconnect_confirm;Disconnect;Trennen;Déconnecter;Desconectar
sync.sync_now;Sync now;Jetzt synchronisieren;Synchroniser maintenant;Sincronizar ahora
sync.status_not_connected;Not connected;Nicht verbunden;Non connecté;Sin conexión
sync.status_connected;Connected;Verbunden;Connecté;Conectado
sync.status_waiting_browser;Waiting for browser approval...;Warte auf Freigabe im Browser...;En attente de l’autorisation dans le navigateur...;Esperando aprobación en el navegador...
sync.status_syncing;Syncing database...;Datenbank wird synchronisiert...;Synchronisation de la base de données...;Sincronizando base de datos...
sync.status_source_choice_required;Choose which database should be used for sync before continuing.;Wählen Sie zuerst aus, welche Datenbank für die Synchronisierung verwendet werden soll.;Choisissez la base de données à utiliser pour la synchronisation avant de continuer.;Elige qué base de datos usar para la sincronización antes de continuar.
sync.status_last_sync_prefix;Last sync:;Letzte Synchronisierung:;Dernière synchronisation :;Última sincronización:
sync.status_dirty;Local changes are waiting to be uploaded.;Lokale Änderungen warten auf den Upload.;Des modifications locales attendent d’être envoyées.;Hay cambios locales pendientes de subir.
sync.progress_prepare_sync;Preparing sync...;Synchronisierung wird vorbereitet...;Préparation de la synchronisation...;Preparando sincronización...
sync.progress_snapshot_database;Creating database snapshot...;Datenbank-Schnappschuss wird erstellt...;Création d’un instantané de la base de données...;Creando instantánea de la base de datos...
sync.progress_archive_photos;Preparing photo archive...;Fotoarchiv wird vorbereitet...;Préparation de l’archive photo...;Preparando archivo de fotos...
sync.progress_upload_database;Uploading database...;Datenbank wird hochgeladen...;Envoi de la base de données...;Subiendo base de datos...
sync.progress_upload_photos;Uploading changed photos...;Geaenderte Fotos werden hochgeladen...;Envoi des photos modifiées...;Subiendo fotos modificadas...
sync.progress_check_photos;Checking photos...;Fotos werden geprueft...;Vérification des photos...;Comprobando fotos...
sync.progress_cleanup_photos;Removing unreferenced photos...;Nicht mehr referenzierte Fotos werden entfernt...;Suppression des photos non référencées...;Eliminando fotos sin referencias...
sync.progress_backup_remote_database;Backing up remote database...;Remote-Datenbank wird gesichert...;Sauvegarde de la base de données distante...;Respaldando base de datos remota...
sync.progress_backup_remote_photos;Backing up remote photo archive...;Remote-Fotoarchiv wird gesichert...;Sauvegarde de l’archive photo distante...;Respaldando archivo de fotos remoto...
sync.progress_publish_remote;Finalizing remote sync...;Remote-Synchronisierung wird abgeschlossen...;Finalisation de la synchronisation distante...;Finalizando sincronización remota...
sync.progress_write_manifest;Updating sync manifest...;Synchronisationsmanifest wird aktualisiert...;Mise à jour du manifeste de synchronisation...;Actualizando manifiesto de sincronización...
sync.progress_prune_backups;Cleaning up old backups...;Alte Backups werden bereinigt...;Nettoyage des anciennes sauvegardes...;Limpiando copias de seguridad antiguas...
sync.progress_download_database;Downloading database...;Datenbank wird heruntergeladen...;Téléchargement de la base de données...;Descargando base de datos...
sync.progress_restore_database;Restoring database...;Datenbank wird wiederhergestellt...;Restauration de la base de données...;Restaurando base de datos...
sync.progress_download_photos;Downloading changed photos...;Geaenderte Fotos werden heruntergeladen...;Téléchargement des photos modifiées...;Descargando fotos modificadas...
sync.progress_restore_photos;Applying synced photos...;Synchronisierte Fotos werden uebernommen...;Application des photos synchronisées...;Aplicando fotos sincronizadas...
sync.progress_keep_local_photos;Keeping local photos because no remote synced photos were found.;Lokale Fotos bleiben erhalten, da keine synchronisierten Remote-Fotos gefunden wurden.;Les photos locales sont conservées car aucune photo distante synchronisée n’a été trouvée.;Se conservan las fotos locales porque no se encontraron fotos remotas sincronizadas.
sync.progress_restore_missing_photos;Restoring available local photo references...;Verfügbare lokale Fotoreferenzen werden wiederhergestellt...;Restauration des références photo locales disponibles...;Restaurando referencias de fotos locales disponibles...
sync.progress_complete;Sync complete.;Synchronisierung abgeschlossen.;Synchronisation terminée.;Sincronización terminada.
sync.connected_account;Connected account;Verbundenes Konto;Compte connecté;Cuenta conectada
sync.last_sync_never;Never;Nie;Jamais;Nunca
sync.choose_source;Choose source database;Quelldatenbank wählen;Choisir la base source;Elegir base de datos de origen
sync.source_choice_title;Choose sync source;Synchronisationsquelle wählen;Choisir la source de synchronisation;Elegir fuente de sincronización
sync.source_choice_intro;Nextcloud already contains a database for this folder. Choose which database should become the source of truth for future syncs.;In diesem Nextcloud-Ordner existiert bereits eine Datenbank. Wählen Sie aus, welche Datenbank künftig die maßgebliche Quelle für die Synchronisierung sein soll.;Nextcloud contient déjà une base de données pour ce dossier. Choisissez quelle base doit devenir la source de référence des prochaines synchronisations.;Nextcloud ya contiene una base de datos para esta carpeta. Elige qué base de datos será la fuente de referencia para futuras sincronizaciones.
sync.source_choice_local_summary;Local database: {count} record(s).;Lokale Datenbank: {count} Einträge.;Base de données locale : {count} fiche(s).;Base de datos local: {count} registro(s).
sync.source_choice_remote_summary;Nextcloud database: existing file, last changed {date}.;Nextcloud-Datenbank: vorhandene Datei, zuletzt geändert am {date}.;Base de données Nextcloud : fichier existant, dernière modification le {date}.;Base de datos de Nextcloud: archivo existente, última modificación el {date}.
sync.source_choice_remote_unknown;unknown date;unbekanntes Datum;date inconnue;fecha desconocida
sync.source_choice_use_local;Use local database;Lokale Datenbank verwenden;Utiliser la base de données locale;Usar base de datos local
sync.source_choice_use_remote;Use Nextcloud database;Nextcloud-Datenbank verwenden;Utiliser la base de données Nextcloud;Usar base de datos de Nextcloud
sync.source_choice_confirm_button;Confirm choice;Auswahl bestätigen;Confirmer le choix;Confirmar elección
sync.source_choice_confirm_local_title;Confirm local database;Lokale Datenbank bestätigen;Confirmer la base de données locale;Confirmar base de datos local
sync.source_choice_confirm_remote_title;Confirm Nextcloud database;Nextcloud-Datenbank bestätigen;Confirmer la base de données Nextcloud;Confirmar base de datos de Nextcloud
sync.source_choice_confirm_local_message;This will overwrite the current Nextcloud database and use your current local database as the source of truth for future syncs. Continue?;Dadurch wird die aktuelle Nextcloud-Datenbank überschrieben und Ihre lokale Datenbank wird künftig die maßgebliche Quelle für die Synchronisierung. Fortfahren?;Cela écrasera la base de données Nextcloud actuelle et utilisera votre base locale comme source de référence pour les prochaines synchronisations. Continuer ?;Esto sobrescribirá la base de datos actual de Nextcloud y usará tu base de datos local como fuente de referencia para futuras sincronizaciones. ¿Continuar?
sync.source_choice_confirm_remote_message;This will replace your current local database with the Nextcloud database and use the Nextcloud copy as the source of truth for future syncs. Continue?;Dadurch wird Ihre lokale Datenbank durch die Nextcloud-Datenbank ersetzt und die Nextcloud-Kopie wird künftig die maßgebliche Quelle für die Synchronisierung. Fortfahren?;Cela remplacera votre base de données locale par la base Nextcloud et utilisera la copie Nextcloud comme source de référence pour les prochaines synchronisations. Continuer ?;Esto sustituirá tu base de datos local por la base de datos de Nextcloud y usará la copia de Nextcloud como fuente de referencia para futuras sincronizaciones. ¿Continuar?
sync.error_generic;Nextcloud sync failed.;Nextcloud-Synchronisierung fehlgeschlagen.;La synchronisation Nextcloud a échoué.;La sincronización de Nextcloud ha fallado.
sync.startup_checking;Checking Nextcloud sync...;Prüfe Nextcloud-Synchronisierung...;Vérification de la synchronisation Nextcloud...;Comprobando sincronización de Nextcloud...
sync.startup_restoring;Restoring database from Nextcloud...;Stelle Datenbank von Nextcloud wieder her...;Restauration de la base de données depuis Nextcloud...;Restaurando base de datos desde Nextcloud...
sync.startup_update_title;Remote database available;Remote-Datenbank verfügbar;Base de données distante disponible;Base de datos remota disponible
sync.startup_update_message;A newer database is available on Nextcloud. Replace your local database with the server copy?;Auf Nextcloud ist eine neuere Datenbank verfügbar. Möchten Sie Ihre lokale Datenbank durch die Serverkopie ersetzen?;Une base de données plus récente est disponible sur Nextcloud. Remplacer votre base locale par la copie du serveur ?;Hay una base de datos más reciente disponible en Nextcloud. ¿Sustituir tu base de datos local por la copia del servidor?
sync.startup_conflict_message;A newer database is available on Nextcloud, but you also have local changes that are not uploaded yet. Replace your local database with the server copy?;Auf Nextcloud ist eine neuere Datenbank verfügbar, aber Sie haben auch lokale Änderungen, die noch nicht hochgeladen wurden. Möchten Sie Ihre lokale Datenbank durch die Serverkopie ersetzen?;Une base de données plus récente est disponible sur Nextcloud, mais vous avez aussi des modifications locales non envoyées. Remplacer votre base locale par la copie du serveur ?;Hay una base de datos más reciente disponible en Nextcloud, pero también tienes cambios locales que aún no se han subido. ¿Sustituir tu base de datos local por la copia del servidor?
sync.startup_update_confirm;Update from server;Vom Server aktualisieren;Mettre à jour depuis le serveur;Actualizar desde el servidor
sync.startup_update_cancel;Keep local database;Lokale Datenbank behalten;Conserver la base locale;Conservar base de datos local
detail.loading;Loading record...;Lade Eintrag...;Chargement de la fiche...;Cargando registro...
detail.error_prefix;Error:;Fehler:;Erreur :;Error:
detail.details_title;Details;Details;Détails;Detalles
detail.type_label;Type:;Typ:;Type :;Tipo:
detail.subtype_label;Subtype:;Untertyp:;Sous-type :;Subtipo:
detail.origin_country_label;Country:;Land:;Pays :;País:
detail.origin_detail_label;Origin:;Herkunft:;Origine :;Origen:
detail.origin_label;Origin:;Herkunft:;Origine :;Origen:
detail.year_label;Year:;Jahr:;Année :;Año:
detail.seller_label;Seller:;Verkäufer:;Vendeur :;Vendedor:
detail.date_added_label;Date Added:;Hinzugefügt am:;Date d’ajout :;Fecha de alta:
detail.price_label;Price:;Preis:;Prix :;Precio:
detail.weight_label;Weight:;Menge:;Poids :;Peso:
detail.preparation_title;Preparation;Zubereitung;Préparation;Preparación
detail.method_label;Method:;Methode:;Méthode :;Método:
detail.notes_label;Notes:;Notizen:;Notes :;Notas:
detail.tasting_notes_title;Tasting Notes;Verkostungsnotizen;Notes de dégustation;Notas de cata
detail.dry_leaves_label;Dry Leaves:;Trockene Blätter:;Feuilles sèches :;Hojas secas:
detail.wet_leaves_label;Wet Leaves:;Nasse Blätter:;Feuilles infusées :;Hojas húmedas:
detail.liquor_label;Liquor:;Aufguss:;Liqueur :;Licor:
detail.color_label;Color:;Farbe:;Couleur :;Color:
detail.color_aria;Tea color;Teefarbe;Couleur du thé;Color del té
detail.plot_show;Show Plot;Diagramm anzeigen;Afficher le graphique;Mostrar gráfico
detail.plot_hide;Hide Plot;Diagramm ausblenden;Masquer le graphique;Ocultar gráfico
detail.notes_rating_title;Notes & Rating;Notizen & Bewertung;Notes et note;Notas y valoración
detail.overall_rating_label;Overall Rating:;Gesamtbewertung:;Note globale :;Valoración general:
detail.delete_button;Delete Record;Eintrag löschen;Supprimer la fiche;Eliminar registro
detail.back_button;Back to Records List;Zurück zur Eintragsliste;Retour à la liste des fiches;Volver a la lista de registros
detail.edit_button;Edit Record;Eintrag bearbeiten;Modifier la fiche;Editar registro
detail.delete_confirm_title;Delete record?;Eintrag löschen?;Supprimer la fiche ?;¿Eliminar registro?
detail.delete_confirm_message;This action cannot be undone.;Diese Aktion kann nicht rückgängig gemacht werden.;Cette action est irréversible.;Esta acción no se puede deshacer.
detail.delete_confirm_confirm;Delete;Löschen;Supprimer;Eliminar
detail.delete_confirm_cancel;Cancel;Abbrechen;Annuler;Cancelar
record.type_label;Type:;Typ:;Type :;Tipo:
record.subtype_label;Subtype:;Untertyp:;Sous-type :;Subtipo:
record.origin_country_label;Country:;Land:;Pays :;País:
record.origin_detail_label;Origin:;Herkunft:;Origine :;Origen:
record.origin_label;Origin:;Herkunft:;Origine :;Origen:
record.year_label;Year:;Jahr:;Année :;Año:
record.seller_label;Seller:;Verkäufer:;Vendeur :;Vendedor:
record.rating_label;Rating:;Bewertung:;Note :;Valoración:
record.notes_label;Notes:;Notizen:;Notes :;Notas:
stats.title;Stats for Nerds;Statistiken für Nerds;Stats pour les passionnés;Estadísticas para frikis
stats.tab_summary;Summary;Übersicht;Résumé;Resumen
stats.tab_histograms;Histograms;Histogramme;Histogrammes;Histogramas
stats.tab_aromas;Aromas;Aromen;Arômes;Aromas
stats.tab_origins;Origins;Herkünfte;Origines;Orígenes
stats.cumulative_title;Cumulative Statistics;Kumulative Statistiken;Statistiques cumulées;Estadísticas acumuladas
stats.total_money_spent_label;Total Money Spent:;Insgesamt ausgegeben:;Total dépensé :;Total gastado:
stats.total_weight_label;Total Weight of Tea:;Gesamtmenge Tee:;Poids total de thé :;Peso total de té:
